"","NMDS1","NMDS2"
"2000-09-25",0.310385608715637,0.120709601523016
"2000-10-06",0.313700777600037,0.11192676659069
"2000-10-23",0.430054675048423,0.245284098614316
"2000-11-07",-0.199614201368295,0.394572263105123
"2000-12-06",-0.365403054878451,0.0596632306016147
"2001-01-16",-0.411852592126229,0.195865550027025
"2001-01-27",-0.565732086568616,0.224346507573331
"2001-02-14",-0.342859054393709,0.116307157890046
"2001-02-28",-0.398742072228953,0.337820952083141
"2001-03-12",-0.392576326120422,0.304912615748908
"2001-03-20",-0.152794966474928,0.225169971377011
"2001-04-03",0.0221003340515187,0.200983989455513
"2001-04-11",0.10507476151315,0.171859978295841
"2001-04-25",0.133123837560338,-0.0226163844398117
"2001-05-09",0.244368115026173,-0.0570185942887179
"2001-05-18",0.507636027678225,0.0364699547215676
