Date,NMDS1,NMDS2
2/4/2004,-0.660960221,0.058325927
3/2/2004,-0.669006536,-0.006295369
3/16/2004,-0.26599362,-0.127627399
3/31/2004,-0.313744393,-0.199361378
4/28/2004,-0.231800677,-0.064228083
5/10/2004,-0.171646569,-0.063394054
5/11/2004,0.001831911,-0.118918198
5/13/2004,-0.176008143,-0.181487499
5/25/2004,0.25191229,0.069831296
6/7/2004,0.118135999,-0.151283592
6/21/2004,0.202487707,-0.137611918
6/26/2004,0.267337271,-0.24086604
6/29/2004,0.178491624,-0.112944346
7/6/2004,0.17857662,-0.161017717
7/19/2004,0.176119312,-0.192183918
7/28/2004,0.262912612,-0.068152889
8/2/2004,0.232211007,-0.207209467
8/8/2004,0.264219283,-0.24749082
8/17/2004,0.236278847,-0.325057659
8/30/2004,0.229867114,-0.265174182
9/2/2004,0.194801758,-0.283171002
9/3/2004,0.201900653,-0.229724157
9/16/2004,0.175854563,-0.262033024
9/29/2004,-0.027378248,-0.233714354
10/14/2004,0.092833189,-0.518805907
10/28/2004,-0.36431255,-0.070700039
11/7/2004,-0.440978508,-0.071711951
11/22/2004,-0.258839315,-0.295940316
12/20/2004,-0.652606579,0.176299399
1/25/2005,-0.660482486,0.023793855
2/2/2005,-0.728011196,0.089071749
2/23/2005,-0.425959545,-0.089290583
3/18/2005,-0.293945951,-0.323368675
4/14/2005,-0.597630839,-0.014469479
4/27/2005,-0.418436629,-0.095015583
5/11/2005,-0.435240628,-0.278698018
5/28/2005,-0.467719635,-0.327686619
6/7/2005,-0.557896336,-0.084742855
6/18/2005,-0.240623401,-0.4140587
6/22/2005,-0.40793593,-0.643398749
7/6/2005,-0.277580773,-0.297682178
7/28/2005,-0.149858385,-0.112685114
8/2/2005,-0.056806206,-0.048137233
8/18/2005,-0.082100415,-0.17773962
8/26/2005,0.145340123,-0.211417422
8/29/2005,0.013137669,-0.12797115
9/14/2005,0.120941334,-0.213785622
9/21/2005,0.064540691,-0.209178175
9/28/2005,0.024095577,-0.37020923
10/21/2005,-0.146935274,0.056495034
11/15/2005,-0.306625823,-0.067048886
12/5/2005,-0.077218167,-0.124731801
2/15/2006,-0.472178025,0.041823306
3/28/2006,-0.485190675,0.201902303
4/5/2006,-0.352348328,0.327156794
4/18/2006,-0.328533883,0.210878747
4/26/2006,-0.409042393,-0.137501436
5/3/2006,-0.340024459,-0.559424982
5/10/2006,-0.269123136,-0.190112174
5/15/2006,-0.092637022,0.370046001
5/30/2006,0.087050045,0.008308879
6/7/2006,0.080676474,-0.220820145
6/13/2006,0.165379525,-0.064007868
6/15/2006,0.003507542,-0.028901226
6/28/2006,0.119998245,-0.096939719
6/29/2006,0.138804899,-0.056401015
7/6/2006,0.103590835,0.024635621
7/13/2006,0.229770296,-0.01062996
8/1/2006,0.231170331,0.075020221
8/10/2006,0.21228988,0.011817444
8/23/2006,0.207541747,-0.052782893
8/29/2006,0.165296793,-0.039371329
9/13/2006,0.058239614,-0.115503549
9/18/2006,0.097995727,-0.031102607
9/26/2006,0.247824363,-0.065328201
9/28/2006,0.029722993,-0.00767942
10/12/2006,0.25775059,0.315982512
10/31/2006,0.127125324,0.079543908
11/29/2006,-0.622983246,0.047548389
12/5/2006,-0.52481115,0.094576577
1/12/2007,-0.57887026,0.025379923
1/24/2007,-0.424796923,0.192148261
2/13/2007,-0.165823558,-0.029501129
3/5/2007,-0.554739679,0.326157146
3/14/2007,-0.421337072,0.402792986
3/22/2007,-0.119615856,0.738139934
3/30/2007,0.19501367,0.333760061
4/19/2007,-0.075064215,0.510520327
5/4/2007,0.180648199,0.321248804
5/15/2007,0.473288412,0.058265642
5/30/2007,0.379828499,0.177457807
6/12/2007,0.383571562,-0.184057538
6/27/2007,0.54382389,-0.056323812
6/28/2007,0.51008873,-0.031423395
6/30/2007,0.410219312,-0.060332017
