Mon,Day,Year,sshtimser
5,9,1995,-0.074037606
5,10,1995,-0.072837604
5,11,1995,-0.070537606
5,12,1995,-0.069637606
5,13,1995,-0.068537606
5,14,1995,-0.069237606
5,15,1995,-0.067437606
5,16,1995,-0.067737603
5,17,1995,-0.068337606
5,18,1995,-0.068437604
5,19,1995,-0.066937605
5,20,1995,-0.067037606
5,21,1995,-0.065237606
5,22,1995,-0.066237604
5,23,1995,-0.057537604
5,24,1995,-0.054437605
5,25,1995,-0.052737604
5,26,1995,-0.051037604
5,27,1995,-0.049037605
5,28,1995,-0.051237605
5,29,1995,-0.049637604
5,30,1995,-0.048037605
5,31,1995,-0.046437604
6,1,1995,-0.046637604
6,2,1995,-0.044637605
6,3,1995,-0.043437605
6,4,1995,-0.043337604
6,5,1995,-0.042537604
6,6,1995,-0.043637605
6,7,1995,-0.042037604
6,8,1995,-0.041437604
6,9,1995,-0.040937604
6,10,1995,-0.042137605
6,11,1995,-0.040537605
6,12,1995,-0.040637605
6,13,1995,-0.040737604
6,14,1995,-0.041237604
6,15,1995,-0.043437605
6,16,1995,-0.043937604
6,17,1995,-0.046637604
6,18,1995,-0.047337604
6,19,1995,-0.046937605
6,20,1995,-0.048237605
6,21,1995,-0.049237605
6,22,1995,-0.050837604
6,23,1995,-0.053737605
6,24,1995,-0.054937604
6,25,1995,-0.056037604
6,26,1995,-0.057737605
6,27,1995,-0.061637604
6,28,1995,-0.067737603
6,29,1995,-0.072337603
6,30,1995,-0.072037605
7,1,1995,-0.072337603
7,2,1995,-0.071237603
7,3,1995,-0.070837604
7,4,1995,-0.072137603
7,5,1995,-0.072737606
7,6,1995,-0.071137605
7,7,1995,-0.072237605
7,8,1995,-0.069737604
7,9,1995,-0.070637604
7,10,1995,-0.069937603
7,11,1995,-0.067737603
7,12,1995,-0.067837605
7,13,1995,-0.064237604
7,14,1995,-0.064437603
7,15,1995,-0.063937606
7,16,1995,-0.066537605
7,17,1995,-0.066637603
7,18,1995,-0.067237606
7,19,1995,-0.067037606
7,20,1995,-0.067637605
7,21,1995,-0.070537606
7,22,1995,-0.070137603
7,23,1995,-0.070237605
7,24,1995,-0.070437604
7,25,1995,-0.070137603
7,26,1995,-0.071237603
7,27,1995,-0.069837605
7,28,1995,-0.069837605
7,29,1995,-0.068137606
7,30,1995,-0.066637603
7,31,1995,-0.064437603
8,1,1995,-0.061137603
8,2,1995,-0.063937606
8,3,1995,-0.061837604
8,4,1995,-0.061437605
8,5,1995,-0.059137603
8,6,1995,-0.057137604
8,7,1995,-0.055037604
8,8,1995,-0.054637605
8,9,1995,-0.053637605
8,10,1995,-0.052637605
8,11,1995,-0.051337605
8,12,1995,-0.050037605
8,13,1995,-0.048837604
8,14,1995,-0.047537604
8,15,1995,-0.046237604
8,16,1995,-0.045037604
8,17,1995,-0.043237604
8,18,1995,-0.041237604
8,19,1995,-0.039837604
8,20,1995,-0.036937604
8,21,1995,-0.035537605
8,22,1995,-0.034037605
8,23,1995,-0.032737604
8,24,1995,-0.031737604
8,25,1995,-0.031637604
8,26,1995,-0.031837605
8,27,1995,-0.031537605
8,28,1995,-0.031037605
8,29,1995,-0.031637604
8,30,1995,-0.028237604
8,31,1995,-0.028337604
9,1,1995,-0.026537604
9,2,1995,-0.024337604
9,3,1995,-0.022337604
9,4,1995,-0.018937604
9,5,1995,-0.022137604
9,6,1995,-0.020837605
9,7,1995,-0.020237604
9,8,1995,-0.021737604
9,9,1995,-0.022337604
9,10,1995,-0.020837605
9,11,1995,-0.022637604
9,12,1995,-0.022337604
9,13,1995,-0.022737604
9,14,1995,-0.021037604
9,15,1995,-0.020737604
9,16,1995,-0.020737604
9,17,1995,-0.019637605
9,18,1995,-0.020237604
9,19,1995,-0.018437604
9,20,1995,-0.016237604
9,21,1995,-0.015037604
9,22,1995,-0.013337604
9,23,1995,-0.011037605
9,24,1995,-0.008937604
9,25,1995,-0.005137605
9,26,1995,-0.002637604
9,27,1995,0.000662396
9,28,1995,0.002762396
9,29,1995,0.005562397
9,30,1995,0.007762397
10,1,1995,0.008762395
10,2,1995,0.012062395
10,3,1995,0.013862396
10,4,1995,0.017662397
10,5,1995,0.019362396
10,6,1995,0.022862396
10,7,1995,0.025562397
10,8,1995,0.027362397
10,9,1995,0.029862395
10,10,1995,0.030062395
10,11,1995,0.034162397
10,12,1995,0.034662394
10,13,1995,0.038862395
10,14,1995,0.038962396
10,15,1995,0.035562398
10,16,1995,0.035662393
10,17,1995,0.034162397
10,18,1995,0.033762394
10,19,1995,0.034062395
10,20,1995,0.033662396
10,21,1995,0.031362394
10,22,1995,0.030262394
10,23,1995,0.028362396
10,24,1995,0.026862396
10,25,1995,0.023562396
10,26,1995,0.026962394
