"","NMDS1","NMDS2","NMDS3"
"1999-09-01",0.575347259681706,0.267128838715549,0.0839765044470752
"1999-09-08",0.388245871127075,0.369906780724564,0.272466934097903
"1999-09-22",0.534157774700185,0.284808452538237,0.141574341542749
"1999-09-29",0.381271228717843,0.0778278645488526,-0.00421728332325148
"1999-10-15",0.248622372748388,0.0607067573216635,0.0206562533915296
"1999-11-04",0.578552192947677,0.428143082955262,-0.314524479990987
"1999-12-20",-0.333475591121739,0.340755906747829,0.189030289773874
"2000-01-20",-0.223271517393238,0.454745428385997,0.068360765285746
"2000-02-01",-0.289170862861813,0.358449754416963,-0.132467355720038
"2000-02-16",-0.458655950622366,0.49995442766085,-0.00943847669818603
"2000-03-07",-0.593104795289252,0.685501393272143,-0.261452436247298
"2000-04-06",-0.185531312192498,0.304017120411342,0.398961868319561
